Sepal_length,Sepal_width,Petal_length,Petal_width,Flower
5.8,2.8,5.1,2.4,Lotus
6.4,3.2,5.3,2.3,Lotus
6.5,3,5.5,1.8,Lotus
7.7,3.8,6.7,2.2,Lotus
7.7,2.6,6.9,2.3,Lotus
6,2.2,5,1.5,Lotus
6.9,3.2,5.7,2.3,Lotus
5.6,2.8,4.9,2,Lotus
7.7,2.8,6.7,2,Lotus
6.3,2.7,4.9,1.8,Lotus
6.7,3.3,5.7,2.1,Lotus
7.2,3.2,6,1.8,Lotus
6.2,2.8,4.8,1.8,Lotus
6.1,3,4.9,1.8,Lotus
6.4,2.8,5.6,2.1,Lotus
7.2,3,5.8,1.6,Lotus
7.4,2.8,6.1,1.9,Lotus
7.9,3.8,6.4,2,Lotus
6.4,2.8,5.6,2.2,Lotus
6.3,2.8,5.1,1.5,Lotus
6.1,2.6,5.6,1.4,Lotus
7.7,3,6.1,2.3,Lotus
6.3,3.4,5.6,2.4,Lotus
6.4,3.1,5.5,1.8,Lotus
6,3,4.8,1.8,Lotus
6.9,3.1,5.4,2.1,Lotus
6.7,3.1,5.6,2.4,Lotus
6.9,3.1,5.1,2.3,Lotus
5.8,2.7,5.1,1.9,Lotus
6.8,3.2,5.9,2.3,Lotus
6.7,3.3,5.7,2.5,Lotus
6.7,3,5.2,2.3,Lotus
6.3,2.5,5,1.9,Lotus
6.5,3,5.2,2,Lotus
6.2,3.4,5.4,2.3,Lotus
5.9,3,5.1,1.8,Lotus
