OverallQual,GrLivArea,GarageCars,TotalBsmtSF,SalePrice
6,1993,2,825,190000
6,1252,2,1602,235000
6,1200,1,1200,125000
6,1096,0,572,79000
5,1040,2,0,109500
8,1968,3,774,269500
7,1947,2,991,254900
7,2462,2,1392,320000
6,1232,2,1232,162500
9,2668,3,1572,412500
7,1541,2,1541,220000
4,882,0,882,103200
6,1616,1,1149,152000
5,1355,0,644,127500
5,1867,1,1617,190000
8,2161,3,1582,325624
7,1720,2,840,183500
8,1707,2,1686,228000
5,1382,2,720,128500
6,1656,2,1080,215000
7,1767,2,1064,239000
6,1362,2,1362,163000
6,1651,2,1606,184000
6,2158,2,1202,243000
6,2060,2,1151,211000
5,1920,2,1052,172500
9,2234,3,2216,501837
5,968,2,968,100000
6,1525,2,756,177000
7,1802,1,793,200100
5,1340,1,0,120000
7,2082,2,1362,200000
5,1252,2,504,127000
10,3608,3,1107,475000
7,1217,2,1188,173000
5,1656,1,660,135000
5,1224,2,1086,153337
8,1593,2,1593,286000
8,2727,2,853,315000
7,1479,2,725,184000
7,1431,2,1431,192000
7,1709,2,970,130000
5,864,1,864,127000
6,1456,2,855,148500
7,1726,3,1726,311872
8,3112,2,1360,235000
6,2229,0,755,104000
8,1713,3,1713,274900
4,1121,2,1121,140000
6,1279,2,1196,171500
6,1310,1,617,112000
6,848,2,848,149000
5,1284,1,720,110000
7,1442,2,1424,180500
5,1696,1,1140,143900
4,1100,1,1100,141000
7,2062,2,1157,277000
6,1092,2,1092,145000
5,864,0,864,98000
6,1212,2,1212,186000
7,1852,2,900,252678
5,990,2,990,156000
6,1392,1,689,161750
5,1236,1,1070,134450
7,1436,2,1436,210000
4,1328,1,686,107000
7,1954,2,798,311500
7,1248,2,1248,167240
7,1498,2,1498,204900
6,2267,2,1010,200000
6,1552,2,713,179900
4,864,2,864,97000
10,2392,3,2392,386250
5,1302,1,630,112000
7,2520,3,1203,290000
6,987,1,483,106000
5,912,1,912,125000
7,1555,2,1373,192500
6,1194,1,1194,148000
8,2794,3,1462,403000
6,987,1,483,94500
5,894,1,894,128200
6,1960,2,860,216500
6,987,1,483,89500
7,1414,2,1414,185500
7,1744,2,996,194500
8,1694,3,1694,318000
6,1487,1,735,113000
8,1566,2,1566,262500
5,866,0,686,110500
5,1440,1,540,79000
6,1217,1,626,120000
7,2110,2,948,205000
7,1872,2,1845,241500
6,1928,1,1020,137000
6,1375,2,1367,140000
7,1668,2,840,180000
6,2144,2,1444,277000
3,1306,0,728,76500
8,1625,2,1573,235000
6,1640,2,798,173000
6,1302,1,1302,158000
5,1314,1,1314,145000
7,2291,2,975,230000
6,1728,2,864,207500
7,1604,2,1604,220000
7,1792,2,963,231500
5,882,1,0,97000
6,1382,2,1362,176000
8,2574,3,1482,276000
6,1212,2,506,151000
5,1316,2,926,130000
5,764,2,680,73000
6,1422,2,1422,175500
6,1511,2,802,185000
5,2192,1,720,179500
5,778,1,740,120500
6,1113,1,1143,148000
8,1939,3,1095,266000
7,1363,2,1385,241500
8,2270,3,1152,290000
6,1632,1,1240,139000
5,816,1,816,124500
7,1548,2,952,205000
7,1560,2,1560,201000
4,864,2,864,141000
9,2121,3,2121,415298
7,2022,2,1160,192000
7,1982,2,807,228500
6,1262,2,1262,185000
7,1314,2,1314,207500
8,1468,3,1468,244600
6,1575,2,1575,179200
7,1250,2,625,164700
6,1734,2,912,159000
4,858,0,858,88000
5,900,1,882,122000
6,1396,1,698,153575
8,1919,2,1079,233230
5,1716,0,780,135900
5,1716,1,768,131000
7,2263,2,795,235000
6,1644,2,1416,167000
6,1003,2,1003,142500
5,1558,1,910,152000
7,1950,2,975,239000
6,1743,2,702,175000
6,1152,1,1092,158500
5,1336,1,1165,157000
8,2452,2,1028,267000
7,1541,3,1541,205000
5,894,2,894,149900
7,3493,3,1470,295000
8,2000,3,2000,305900
7,2243,3,700,225000
6,1406,0,319,89500
4,861,2,861,82500
9,1944,3,1896,360000
6,1501,2,697,165600
6,972,1,972,132000
5,1118,2,793,119900
7,2036,2,2136,375000
7,1641,2,728,178000
7,1432,2,716,188500
7,2353,2,845,260000
8,1959,3,1088,270000
7,2646,3,1347,260000
7,1472,2,1372,187500
9,2596,3,1249,342643
8,2468,3,1136,354000
7,2730,2,1502,301000
3,1163,1,1162,126175
7,2978,2,710,242000
5,803,2,720,87000
8,1719,2,1719,324000
6,1383,1,1383,145250
6,2134,2,844,214500
5,1192,1,596,78000
5,1728,1,1728,119000
5,1056,1,1056,139000
8,1629,3,3206,284000
7,1358,2,1358,207000
6,1638,2,943,192000
5,1786,2,1499,228950
9,1922,3,1922,377426
7,1536,2,1536,214000
7,1621,2,1208,202500
6,1215,1,1215,155000
8,1908,2,967,202900
4,841,1,721,82000
3,1040,2,0,87500
9,1684,2,1684,266000
5,1112,1,536,85000
6,1577,1,972,140200
6,958,1,958,151500
6,1478,2,1478,157500
7,1626,2,764,154000
9,2728,3,1848,437154
9,1869,2,1869,318061
7,1453,2,1453,190000
5,1111,1,616,95000
6,720,2,624,105900
6,1595,1,940,140000
6,1200,2,1200,177500
6,1167,2,1158,173000
5,1142,2,1142,134000
5,1352,1,1062,130000
8,1924,2,1086,280000
6,912,2,888,156000
5,1505,1,883,145000
7,1922,2,0,198500
6,987,1,483,118000
6,1574,2,796,190000
5,1344,1,672,147000
6,1394,2,1394,159000
6,1431,1,1099,165000
5,1268,1,1268,132000
5,1287,2,1063,162000
6,1664,2,953,172400
4,1588,2,0,134432
6,752,1,744,125000
5,1319,1,608,123000
7,1928,2,847,219500
1,904,0,683,61000
5,914,2,870,148000
8,2466,2,1580,340000
9,1856,3,1856,394432
6,1800,2,982,179000
5,1691,1,1026,127000
7,1301,2,1293,187750
7,1797,2,939,213500
6,784,2,784,76000
6,1953,2,1580,240000
8,1269,2,1256,192000
5,1184,0,658,81000
6,1125,1,1041,125000
7,1479,2,1468,191000
10,2332,3,1682,426000
5,1367,1,861,119000
6,1961,2,804,215000
5,882,1,0,106500
4,788,0,788,100000
5,1034,1,735,109000
5,1144,1,1144,129000
5,894,2,894,123000
5,1812,1,864,169500
5,1077,1,961,67000
7,1550,2,1092,241000
8,1288,2,1260,245500
7,1310,2,1310,164990
5,672,1,672,108000
8,2263,2,1141,258000
6,1572,2,806,168000
4,1620,2,1281,150000
6,1639,1,1064,115000
6,1680,1,840,177000
7,2172,3,1063,280000
8,2078,3,1034,339750
5,1276,1,1276,60000
5,1056,2,1056,145000
7,1478,2,1470,222000
5,1028,2,1008,115000
7,2097,3,1080,228000
7,1340,2,1340,181134
6,1400,2,672,149500
6,2624,3,1370,239000
5,1134,1,756,126000
5,1056,1,1056,142000
7,1344,4,1344,206300
6,1602,2,1602,215000
5,988,2,988,113000
8,2630,3,1470,315000
6,1196,1,1196,139000
7,1389,1,651,135000
7,1644,2,1518,275000
4,907,1,907,109008
7,1208,2,1208,195400
6,1412,2,1392,175000
6,987,1,483,85400
6,1198,0,901,79900
5,1365,2,765,122500
6,1604,2,926,181000
4,630,0,630,81000
7,1661,2,799,212000
6,1118,2,648,116000
6,904,1,884,119000
5,694,1,440,90350
6,1196,2,684,110000
10,2402,3,3094,555000
4,1440,0,1440,118000
5,1573,2,1078,162900
7,1258,3,1258,172500
7,1908,2,915,210000
6,1689,2,1436,127500
6,1888,2,1517,190000
7,1886,2,930,199900
6,1376,1,780,119500
3,1183,1,649,120000
6,813,1,813,110000
7,1533,2,1533,280000
6,1756,2,872,204000
8,1590,2,768,210000
5,1728,2,1728,188000
7,1242,2,1242,175500
5,1344,3,624,98000
4,1663,2,1364,256000
8,1666,1,588,161000
5,1203,1,709,110000
8,1935,2,832,263435
7,1135,2,560,155000
5,864,1,864,62383
6,1660,1,715,188700
5,1040,0,1040,124000
7,1414,2,1375,178740
7,1277,2,1277,167000
5,1644,1,728,146500
8,1634,3,1626,250000
6,1710,2,832,187000
8,1502,2,1488,212000
7,1969,2,808,190000
6,1072,2,547,148000
8,1976,3,1976,440000
8,1652,2,1494,251000
5,970,2,970,132500
6,1493,2,1478,208900
9,2643,3,2153,380000
8,1718,3,1705,297000
4,1131,2,907,89471
9,1850,3,1833,326000
9,1792,3,1792,374000
7,1826,1,910,155000
6,1216,2,1216,164000
5,999,1,999,132500
5,1113,1,1113,147000
5,1073,2,1073,156000
5,1484,2,1484,175000
5,2414,2,954,160000
4,630,1,630,86000
5,1304,1,264,115000
6,1578,1,806,133000
6,1456,2,728,172785
5,1269,1,1269,155000
5,886,1,190,91300
4,720,0,720,34900
8,3228,2,3200,430000
7,1820,1,1026,184000
5,899,1,864,130000
5,912,1,912,120000
6,1218,1,672,113000
7,1768,2,866,226700
5,1214,2,1214,140000
7,1801,2,1501,289000
6,1322,2,855,147000
5,1960,2,960,124500
8,1911,2,777,215000
6,1218,2,1218,208300
7,1378,2,689,161000
5,1041,1,1041,124500
5,1363,1,1008,164900
7,1368,2,1368,202665
5,864,2,864,129900
6,1080,2,1084,134000
5,789,1,768,96500
10,2020,3,2006,402861
6,2119,2,689,158000
7,2344,3,1264,265000
6,1796,2,794,211000
7,2080,1,1276,234000
4,1294,0,0,106250
6,1244,1,1244,150000
6,1664,2,1004,159000
10,4676,3,3138,184750
7,2398,3,1379,315750
7,1266,2,1257,176000
5,928,1,928,132000
9,2713,3,1452,446261
4,605,0,528,86000
6,2515,2,2035,200624
6,1509,2,1461,175000
6,1362,2,611,128000
5,827,1,0,107500
1,334,0,0,39300
8,1414,2,707,178000
5,1347,0,1117,107500
7,1724,2,880,188000
4,864,2,864,111250
5,1159,1,1051,158000
8,1601,2,1581,272000
9,1838,3,1838,315000
8,2285,3,969,248000
7,1680,2,1650,213250
7,767,1,723,133000
7,1496,2,654,179665
7,2183,3,1204,229000
6,1635,2,1065,210000
5,768,2,768,129500
5,825,2,825,125000
7,2094,2,912,263000
6,1069,2,1069,140000
5,928,1,928,112500
8,1717,3,1709,255500
4,1126,2,0,108000
7,2046,3,998,284000
5,1048,1,993,113000
5,1092,1,1092,141000
4,1336,1,637,108000
7,1446,2,729,175000
7,1557,2,1374,234000
5,1392,2,1392,121500
5,1389,2,1389,170000
5,996,0,996,108000
6,1674,2,1163,185000
7,2295,2,1095,268000
6,1647,1,806,128000
9,2504,3,1122,325000
7,1535,2,1517,214000
8,2132,2,1496,316600
5,943,2,943,135960
5,1728,2,1728,142600
6,864,1,864,120000
7,1692,2,846,224500
7,1430,2,384,170000
5,1109,1,372,139000
5,1216,1,832,118500
7,1477,1,861,145000
5,1320,2,1164,164500
7,1392,2,689,146000
5,1795,1,1050,131500
6,1429,2,1144,181900
8,2042,3,2042,253293
6,816,0,816,118500
10,2775,2,1237,325000
4,1573,1,884,133000
8,2028,3,1868,369900
6,838,1,816,130000
5,860,2,840,137000
5,1473,1,1437,143000
5,935,1,742,79500
7,1582,2,770,185900
10,2296,3,1722,451950
5,816,2,816,138000
6,848,2,848,140000
5,924,1,924,110000
8,1826,3,1814,319000
6,1368,1,684,114504
7,1402,3,1258,194201
5,1647,2,1430,217500
6,1556,2,716,151000
8,1904,2,1058,275000
6,1375,1,780,141000
8,1915,2,908,220000
7,1200,2,600,151000
7,1494,2,1494,221000
7,1986,2,768,205000
5,1040,2,1040,152000
5,2008,1,896,225000
8,3194,2,965,359100
4,1029,1,1029,118500
9,2153,3,1440,313000
6,1032,2,1032,148000
8,1872,2,1299,261500
5,1120,0,1120,147000
4,630,0,630,75500
6,1054,2,936,137500
6,1509,2,783,183200
6,832,2,832,105500
9,1828,3,1822,314813
8,2262,3,1482,305000
3,864,0,864,67000
6,2614,2,1522,240000
5,980,2,980,135000
6,1512,2,756,168500
6,1790,2,732,165150
6,1116,2,1116,160000
5,1422,1,978,139900
6,1520,1,1156,153000
5,2080,2,1040,135000
6,1350,2,1248,168500
5,1750,1,636,124000
8,1554,2,1554,209500
7,1411,2,1386,82500
5,1056,1,1056,139400
6,1056,2,1056,144000
6,3395,0,1440,200000
2,800,0,264,60000
5,1387,1,811,93000
5,796,0,796,85000
8,1567,3,1520,264561
8,1518,2,1518,274000
7,1929,2,1057,226000
8,2704,2,1952,345000
5,1620,2,780,152000
9,1766,3,1766,370878
6,981,2,981,143250
5,1048,2,0,98300
6,1094,2,1094,155000
6,1839,2,756,155000
4,630,0,630,84500
7,1665,2,813,205950
4,1510,1,755,108000
7,1716,2,880,191000
6,1469,1,756,135000
8,2113,3,2109,350000
6,1092,1,525,88000
5,1053,1,1053,145500
7,1502,1,776,149000
6,1458,1,912,97500
5,1486,2,1486,167000
7,1935,2,793,197900
8,2448,3,1629,402000
6,1392,2,1392,110000
4,1181,2,1138,137500
8,2097,3,2077,423000
8,1936,2,1406,230500
6,2380,2,1021,129000
6,1679,2,1408,193500
5,1437,2,1188,168000
4,1180,1,700,137500
6,1476,2,738,173500
6,1369,1,672,103600
6,1208,2,1208,165000
6,1839,2,1477,257500
6,1136,1,1136,140000
6,1441,2,855,148500
4,1774,3,1095,87000
5,792,1,768,109500
8,2046,3,2046,372500
5,988,2,988,128500
6,923,1,923,143000
5,1520,1,793,159434
6,1291,2,1291,173000
9,1668,3,1626,285000
7,1839,2,1195,221000
7,2090,2,1190,207500
7,1761,2,874,227875
7,1102,2,551,148800
8,1419,2,1419,392000
6,1362,2,1362,194700
6,848,2,848,141000
10,4316,3,2444,755000
7,2519,2,1210,335000
5,1073,1,1073,108480
5,1539,2,927,141500
6,1137,2,1112,176000
5,616,1,616,89000
5,1148,1,980,123500
5,894,1,894,138500
7,1391,2,1391,196000
8,1800,3,1800,312500
7,1164,2,1164,140000
8,2576,3,1234,361919
5,1812,2,360,140000
7,1484,2,1473,213000
4,1092,0,0,55000
7,1824,2,1643,302000
8,1324,2,1324,254000
7,1456,2,728,179540
5,904,1,876,109900
3,729,0,270,52000
4,1178,1,859,102776
8,1228,2,1228,189000
4,960,2,960,129000
6,1479,2,725,130500
6,1350,2,1064,165000
7,2554,2,718,159500
5,1178,2,1176,157000
7,2418,3,1311,341000
5,971,1,971,128500
8,1742,2,1742,275000
6,848,2,848,143000
4,864,2,864,124500
4,1470,1,941,135000
9,1698,3,1698,320000
4,864,2,864,120500
6,1680,2,880,222000
7,1232,2,1232,194500
5,1776,3,1584,110000
4,1208,2,780,103000
8,1616,2,1595,236500
7,1146,2,868,187500
7,2031,2,1153,222500
5,1144,1,864,131400
5,948,1,948,108000
7,1768,2,880,163000
3,1040,2,0,93500
8,1801,3,893,239900
5,1200,0,1200,179000
7,1728,2,864,190000
5,1432,2,264,132000
6,912,1,912,142000
7,1349,2,1349,179000
5,1464,2,520,175000
8,1337,2,1337,180000
8,2715,2,1142,299800
7,2256,2,952,236000
7,2640,4,1240,265979
7,1720,2,1720,260400
4,1529,1,0,98000
4,1140,0,576,96500
7,1320,2,660,162000
6,1494,2,1479,217000
8,2098,3,1030,275500
6,1026,2,1026,156000
6,1471,2,729,172500
8,1768,2,866,212000
6,1386,2,672,158900
7,1501,2,744,179400
8,2531,3,1318,290000
6,864,1,864,127500
5,1301,2,1145,100000
7,1547,2,756,215200
8,2365,3,1252,337000
8,1494,2,1494,270000
9,1506,2,1498,264132
7,1714,2,980,196500
6,1750,1,983,160000
7,1836,2,1860,216837
8,3279,3,1650,538000
5,858,2,858,134900
4,1220,2,836,102000
6,1117,2,1029,107000
5,912,1,912,114500
8,1973,3,1935,395000
6,1204,2,1204,162000
7,1614,3,1614,221500
5,894,2,864,142500
5,2020,2,0,144000
6,1004,2,975,135000
7,1253,2,1237,176000
6,1603,2,761,175900
7,1430,2,1413,187100
5,1110,2,1097,165500
6,1484,0,742,128000
6,1342,2,1372,161500
5,1652,1,686,139000
7,2084,2,956,233000
4,901,1,901,107900
6,2087,2,832,187500
7,1145,2,1145,160200
6,1062,2,1029,146800
7,2013,2,1117,269790
8,1496,2,1496,225000
7,1895,2,712,194500
6,1564,2,650,171000
6,1285,2,660,143500
5,773,1,773,110000
9,3140,3,1926,485000
5,1768,1,731,175000
6,1688,2,616,200000
4,1196,2,1196,109900
7,1456,2,728,189000
9,2822,3,1734,582933
5,1128,1,936,118000
7,1428,2,1417,227680
5,980,1,980,135500
5,1576,2,1324,223500
5,1086,2,1024,159950
5,2138,2,849,106000
6,1309,2,1040,181000
6,848,2,848,144500
5,1044,2,540,55993
6,1442,1,1442,157900
5,1250,1,686,116000
7,1661,2,1649,224900
5,1008,1,1008,137000
8,1689,3,1568,271000
6,1052,2,1010,155000
7,1358,2,1358,224000
7,1640,2,798,183000
4,936,2,936,93000
7,1733,2,847,225000
6,1489,1,778,139500
8,1489,2,1489,232600
10,2084,3,2078,385000
5,784,0,784,109500
7,1434,2,1454,189000
5,2126,2,1013,185000
7,1223,2,600,147400
6,1392,2,1392,166000
7,1200,2,600,151000
7,1829,2,941,237000
6,1516,2,1516,167000
5,1144,2,1144,139950
4,1067,2,1067,128000
5,1559,2,1559,153500
6,987,1,483,100000
5,1099,1,1099,144000
5,1200,1,768,130500
6,1482,1,672,140000
5,1539,2,650,157500
6,1165,2,1127,174900
5,1800,0,1800,141000
5,1416,3,876,153900
5,1701,2,1390,171000
7,1775,2,740,213000
5,864,1,864,133500
6,2358,2,907,240000
6,1855,2,528,187000
6,848,2,848,131500
8,1456,2,1273,215000
7,1646,1,918,164000
6,1445,2,1127,158000
5,1779,2,1763,170000
5,1040,1,1040,127000
6,1026,2,940,147000
6,1481,2,702,174000
7,1370,2,1090,152000
6,2654,2,1054,250000
7,1426,1,912,189950
5,1039,2,1039,131500
6,1097,2,1040,152000
5,1148,1,1148,132500
7,1372,2,1372,250580
5,1002,2,1002,148500
8,1646,3,1638,248900
4,1120,2,1040,129000
5,2320,2,0,169000
7,1949,2,1050,236000
5,894,1,894,109500
6,1682,2,804,200500
5,910,2,105,116000
5,1268,1,832,133000
5,1131,1,676,66500
8,2610,2,1184,303477
4,1040,2,1064,132250
9,2224,3,1462,350000
5,1155,2,1109,148000
5,864,1,864,136500
5,1090,2,1090,157000
7,1717,2,1156,187500
6,1593,2,808,178000
4,2230,1,795,118500
5,892,1,892,100000
9,1709,2,1698,328900
5,1712,2,1626,145000
5,1393,1,816,135500
8,2217,2,2217,268000
6,1505,2,1505,149500
5,924,2,672,122900
6,1683,2,918,172500
6,1068,1,1059,154500
5,1383,1,1383,165000
5,1535,2,0,118858
6,1796,2,780,140000
4,951,1,951,106500
5,2240,2,0,142953
9,2364,3,2330,611657
5,1236,1,912,135000
4,858,1,858,110000
5,1306,1,992,153000
7,1509,2,783,180000
7,1670,3,1670,240000
5,902,1,876,125500
5,1063,1,1056,128000
8,1636,3,1623,255000
7,2057,1,1017,250000
5,902,2,864,131000
6,1484,2,742,174000
5,2274,2,1105,154300
5,1268,1,1268,143500
5,1015,1,768,88000
5,2002,3,1001,145000
6,1224,2,612,173733
4,1092,1,546,75000
2,480,1,480,35311
4,1229,1,1134,135000
7,2127,3,1104,238000
6,1414,2,1184,176500
6,1721,2,928,201000
5,2200,0,1272,145900
6,1316,2,1316,169990
6,1617,2,1604,193000
6,1686,2,1686,207500
5,1126,2,1126,175000
8,2374,3,1181,285000
7,1978,2,832,176000
8,1788,2,1753,236500
7,2236,2,964,222000
8,1466,3,1466,201000
5,925,1,925,117500
9,1905,3,1905,320000
7,1500,2,1500,190000
7,2069,2,585,242000
4,747,2,600,79900
7,1200,2,1176,184900
7,1971,2,1113,253000
7,1962,3,1391,239799
7,2403,1,1032,244400
6,1728,2,1728,150900
7,2060,2,992,214000
4,1440,0,1440,150000
5,1632,2,1632,143000
6,1344,2,819,137500
5,1869,2,1088,124900
5,1144,1,1144,143000
8,1629,3,1616,270000
7,1776,2,936,192500
6,1381,2,1161,197500
5,864,2,864,129000
5,965,1,828,119900
5,768,1,768,133900
5,1968,2,784,172000
6,980,0,945,127500
6,1958,2,979,145000
6,1229,2,561,124000
5,1057,2,1057,132000
7,1337,2,1337,185000
7,1416,2,696,155000
5,858,0,858,116500
6,2872,2,1330,272000
6,1548,2,804,155000
9,1800,2,1800,239000
7,1894,2,817,214900
6,1484,2,783,178900
5,1308,1,728,160000
5,1098,1,1098,135000
3,968,0,600,37900
6,1095,1,588,140000
4,1192,0,720,135000
7,1626,2,764,173000
6,918,1,918,99500
7,1428,2,1428,182000
7,2019,2,728,167500
7,1382,2,673,165000
4,869,0,440,85500
7,1241,2,1241,199900
4,894,2,894,110000
5,1121,2,1121,139000
7,999,2,944,178400
8,2612,3,1225,336000
7,1266,2,1266,159895
8,2290,2,1128,255900
5,1734,2,0,126000
5,1164,1,1164,125000
6,1635,1,485,117000
9,1940,3,1930,395192
6,2030,2,848,195000
7,1576,2,770,197000
8,2392,3,1396,348000
8,1742,2,916,168000
6,1851,2,822,187000
6,1500,2,750,173900
10,1718,3,1700,337500
4,1230,1,747,121600
5,1050,1,1050,136500
6,1442,2,1442,185000
3,1077,1,1007,91000
7,1208,2,1187,206000
3,944,2,0,82000
5,691,1,691,86000
8,1574,3,1574,232000
5,1680,2,1680,136905
7,1504,2,1346,181000
5,985,1,985,149900
6,1657,2,1657,163500
4,1092,1,546,88000
7,1710,2,1710,240000
5,1522,0,1008,102000
5,1271,1,720,135000
5,1664,0,0,100000
6,1502,1,602,165000
5,1022,1,1022,85000
6,1082,1,1082,119200
8,1665,2,810,227000
7,1504,2,1504,203000
8,1360,2,1220,187500
7,1472,2,384,160000
7,1506,2,1362,213490
4,1132,2,1132,176000
7,1220,2,1199,194000
5,1248,1,912,87000
7,1504,2,1346,191000
8,2898,2,1565,287000
5,882,2,882,112500
5,1264,2,1268,167500
8,1646,3,1638,293077
5,1376,1,768,105000
6,1218,1,672,118000
5,1928,0,686,160000
7,3082,2,824,197000
8,2520,3,1338,310000
7,1654,3,1654,230000
5,954,1,920,119750
4,845,1,0,84000
9,1620,3,1620,315500
8,2263,2,1055,287000
4,1344,0,546,97000
4,630,1,630,80000
5,1803,2,1134,155000
6,1632,2,800,173000
6,1306,2,1306,196000
7,2329,2,1475,262280
8,2524,2,2524,278000
3,1733,2,0,139600
9,2868,3,1992,556581
5,990,2,990,145000
5,1771,2,0,115000
4,930,1,0,84900
7,1302,2,1302,176485
7,1316,2,1316,200141
6,1977,2,816,165000
5,1526,1,1216,144500
8,1989,2,1065,255000
6,1523,2,1193,180000
7,1364,2,1364,185850
7,1850,2,973,248000
9,2184,3,1104,335000
6,1991,2,854,220000
8,1338,2,1338,213500
3,894,3,894,81000
5,2337,2,662,90000
6,1103,2,1103,110500
5,1154,2,1154,154000
7,2260,2,1306,328000
6,1571,2,799,178000
6,1611,2,780,167900
6,2521,2,942,151400
5,893,2,845,135000
5,1048,1,1048,135000
6,1556,2,727,154000
5,1456,1,810,91500
6,1426,2,690,159500
7,1240,3,1240,194000
7,1740,1,800,219500
5,1466,2,796,170000
5,1096,1,1096,138800
6,848,2,848,155900
5,990,1,990,126000
6,1258,2,1258,145000
5,1040,1,1040,133000
7,1459,2,1459,192000
6,1251,1,1251,160000
6,1498,2,691,187500
6,996,2,936,147000
4,1092,1,546,83500
8,1953,3,1082,252000
7,1709,2,970,137500
8,1247,2,1247,197000
3,1040,2,0,92900
7,1252,2,600,160000
6,1694,2,1181,136500
5,1200,2,864,146000
5,936,1,936,129000
6,1314,2,1314,176432
6,1355,0,684,127000
8,1088,2,1074,170000
4,1324,1,672,128000
7,1601,2,1271,157000
2,438,1,290,60000
5,950,1,950,119500
5,1134,1,1010,135000
6,1194,2,655,159500
5,1302,2,630,106000
8,2622,2,1463,325000
7,1442,2,910,179900
7,2021,2,868,274725
6,1690,2,924,181000
8,1836,3,1836,280000
6,1658,2,773,188000
7,1964,2,803,205000
5,816,1,816,129900
5,1008,1,1008,134500
5,833,1,833,117000
8,1734,3,1734,318000
8,1419,2,408,184100
5,894,2,894,130000
5,1601,1,533,140000
5,1040,1,1040,133700
6,1012,1,1012,118400
7,1552,3,1552,212900
4,960,1,672,112000
5,698,0,698,118000
7,1482,2,384,163900
4,1005,2,1005,115000
7,1555,3,1373,174000
7,1530,3,1530,259000
