MSZoning,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,SalePrice,Years Before Sale,Years Since Remod
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Plywood,Plywood,TA,Gd,1060,Ex,Y,SBrkr,1060,1060,1,Gd,6,Typ,1,1,270,Y,154000,42,9
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1566,Ex,Y,SBrkr,1600,1600,2,Gd,7,Typ,1,3,890,Y,256300,2,2
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,900,TA,Y,SBrkr,900,900,1,Gd,5,Typ,0,2,576,Y,134800,59,10
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1704,Ex,Y,SBrkr,1704,1704,2,Gd,7,Typ,1,3,772,Y,306000,3,2
RL,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,MetalSd,TA,TA,1484,TA,Y,SBrkr,1600,1600,1,TA,6,Typ,2,1,319,Y,207500,49,9
RM,IR1,Lvl,AllPub,Inside,Gtl,Feedr,RRNn,1Fam,1Story,4,Gable,CompShg,MetalSd,MetalSd,TA,TA,520,Fa,N,SBrkr,520,520,1,Fa,4,Typ,0,1,240,Y,68500,81,58
C (all),Reg,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,2Story,4,Gambrel,CompShg,BrkFace,BrkFace,TA,Fa,649,TA,N,SBrkr,649,1317,1,TA,6,Typ,0,1,250,N,40000,88,58
RL,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,HdBoard,TA,TA,1228,Gd,Y,SBrkr,1228,1228,1,Gd,6,Typ,0,1,271,Y,149350,42,2
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1234,Ex,Y,SBrkr,1234,1234,2,Gd,7,Typ,0,2,484,Y,179900,1,1
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Hip,CompShg,BrkFace,BrkFace,TA,TA,1398,Gd,Y,SBrkr,1700,1700,1,Gd,6,Typ,1,2,447,Y,165500,51,51
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,Hip,CompShg,MetalSd,MetalSd,Ex,TA,1561,Ex,Y,SBrkr,1561,1561,2,Ex,6,Typ,1,2,556,Y,277500,2,2
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1117,Ex,Y,SBrkr,1132,2452,3,Gd,9,Typ,1,3,691,Y,309000,2,1
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,TA,TA,1097,Ex,Y,SBrkr,1097,1097,1,TA,6,Typ,0,2,672,Y,145000,15,14
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,1297,Gd,Y,SBrkr,1297,1297,1,TA,5,Typ,1,2,498,Y,153000,55,19
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,TA,Gd,1057,TA,Y,SBrkr,1057,1057,1,Gd,5,Typ,0,1,246,Y,109000,57,3
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,1Story,4,Gable,CompShg,AsbShng,Plywood,TA,TA,0,TA,N,FuseP,1152,1152,2,Fa,6,Typ,0,0,0,N,82000,53,53
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,1088,Ex,Y,SBrkr,1324,1324,2,TA,6,Typ,1,2,440,Y,160000,41,41
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,TA,Gd,1350,Gd,Y,SBrkr,1328,1328,1,TA,5,Typ,2,1,308,P,170000,48,48
RL,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,SFoyer,5,Gable,CompShg,HdBoard,HdBoard,TA,TA,840,Gd,Y,SBrkr,884,884,1,Gd,5,Typ,0,2,504,Y,144000,24,24
RL,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,5,Hip,CompShg,VinylSd,VinylSd,TA,TA,938,TA,Y,SBrkr,938,938,1,TA,5,Typ,0,1,308,Y,130250,33,28
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,1150,Ex,Y,FuseA,1150,1150,1,TA,6,Typ,0,1,300,Y,141000,47,47
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,Hip,CompShg,MetalSd,MetalSd,Ex,TA,1752,Ex,Y,SBrkr,1752,1752,2,Ex,6,Typ,1,2,576,Y,319900,5,5
RL,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1.5Fin,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1434,Ex,Y,SBrkr,1518,2149,1,Gd,6,Typ,1,2,670,Y,239686,6,6
FV,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1656,Ex,Y,SBrkr,1656,1656,2,Gd,7,Typ,0,3,826,Y,249700,1,1
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,2fmCon,2Story,4,Gable,CompShg,MetalSd,MetalSd,TA,TA,736,Gd,Y,SBrkr,736,1452,2,TA,8,Typ,0,0,0,N,113000,89,1
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,HdBoard,TA,TA,955,Ex,Y,SBrkr,955,955,1,TA,6,Typ,0,1,386,Y,127000,41,41
RL,IR2,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,TA,TA,794,Gd,Y,SBrkr,794,1470,2,TA,6,Typ,0,2,388,Y,177000,10,10
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,6,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,816,TA,Y,SBrkr,816,1176,1,TA,6,Typ,1,2,528,Y,114500,72,56
RM,IR2,Bnk,AllPub,Corner,Mod,RRNn,Norm,Duplex,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,Fa,TA,816,TA,N,SBrkr,816,816,1,TA,5,Typ,0,2,516,Y,110000,47,47
RL,IR1,Low,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,9,Gable,WdShngl,WdShing,Wd Shng,Gd,TA,1842,Gd,Y,SBrkr,1842,1842,0,Gd,5,Typ,1,3,894,Y,385000,25,19
RL,Reg,Bnk,AllPub,Inside,Mod,Norm,Norm,1Fam,SLvl,5,Gable,CompShg,MetalSd,MetalSd,TA,TA,384,TA,Y,SBrkr,1360,1360,1,TA,6,Min1,1,2,572,Y,130000,52,52
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,Gable,CompShg,HdBoard,Plywood,TA,TA,1425,Gd,Y,SBrkr,1425,1425,2,TA,7,Typ,1,2,576,Y,180500,44,44
FV,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,2Story,8,Gable,CompShg,MetalSd,MetalSd,Gd,TA,970,Ex,Y,SBrkr,983,1739,2,Gd,7,Typ,0,2,480,Y,172500,10,9
RL,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,860,Ex,Y,SBrkr,860,1720,2,Gd,7,Typ,0,2,565,Y,196500,2,2
RL,IR2,HLS,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,2Story,10,Hip,CompShg,VinylSd,VinylSd,Ex,TA,1410,Ex,Y,SBrkr,1426,2945,3,Gd,10,Typ,1,3,641,Y,438780,0,0
RL,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,HdBoard,TA,TA,780,Ex,Y,SBrkr,780,780,1,TA,4,Typ,0,1,352,Y,124900,36,36
RL,Reg,Lvl,AllPub,Inside,Gtl,RRAe,Norm,1Fam,1Story,6,Gable,CompShg,VinylSd,VinylSd,TA,TA,1158,Ex,Y,SBrkr,1158,1158,1,Gd,5,Typ,0,2,576,Y,158000,2,2
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2.5Unf,5,Gable,CompShg,MetalSd,MetalSd,TA,TA,530,TA,N,SBrkr,581,1111,1,Fa,6,Typ,0,1,288,N,101000,87,11
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1370,Ex,Y,SBrkr,1370,1370,2,Gd,6,Typ,1,2,484,Y,202500,1,1
RM,IR1,Bnk,AllPub,Inside,Gtl,RRAn,Feedr,1Fam,2Story,7,Gable,CompShg,Stucco,Stucco,TA,TA,576,Gd,Y,SBrkr,902,1710,2,TA,9,Typ,0,2,480,Y,140000,89,60
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,TA,TA,1057,Ex,Y,SBrkr,1057,2034,2,Gd,8,Typ,0,2,645,Y,219500,12,11
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1143,Ex,Y,SBrkr,1143,2473,2,Gd,9,Typ,1,3,852,Y,317000,3,2
RL,Reg,Lvl,AllPub,Inside,Gtl,PosA,Norm,1Fam,1Story,7,Gable,CompShg,Plywood,Plywood,TA,TA,1947,TA,Y,SBrkr,2207,2207,2,TA,7,Min1,1,2,576,Y,180000,40,21
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1453,Ex,Y,SBrkr,1479,1479,2,Gd,7,Typ,0,2,558,Y,226000,4,4
RM,Reg,Lvl,AllPub,Corner,Gtl,Artery,Norm,1Fam,1Story,4,Gable,CompShg,MetalSd,MetalSd,TA,Gd,747,TA,Y,SBrkr,747,747,1,TA,4,Typ,0,1,220,Y,80000,65,60
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1.5Fin,7,Gable,CompShg,BrkFace,AsbShng,Gd,TA,1304,TA,Y,SBrkr,1304,2287,2,TA,7,Typ,1,2,667,Y,225000,53,53
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,Gable,CompShg,Plywood,Plywood,TA,Gd,2223,Ex,Y,SBrkr,2223,2223,2,TA,8,Typ,2,2,516,Y,244000,34,34
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,4,Gable,CompShg,HdBoard,Plywood,TA,TA,845,TA,Y,SBrkr,845,845,1,TA,4,Typ,0,2,360,Y,129500,25,1
RL,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,TA,TA,832,Gd,Y,SBrkr,885,1718,2,TA,7,Typ,1,2,427,Y,185000,11,11
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,1086,Gd,Y,SBrkr,1086,1086,1,TA,6,Typ,0,2,490,Y,144900,56,7
RM,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,3,Gambrel,CompShg,VinylSd,VinylSd,Gd,Gd,840,Gd,N,SBrkr,840,1605,2,TA,8,Typ,0,1,379,Y,107400,95,60
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,SLvl,4,Gable,CompShg,CemntBd,CmentBd,TA,TA,462,TA,Y,SBrkr,526,988,1,TA,5,Typ,0,1,297,Y,91000,36,36
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,4,Gable,CompShg,VinylSd,VinylSd,TA,TA,952,Ex,Y,FuseA,952,952,1,TA,4,Typ,0,1,283,Y,135750,52,52
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,672,TA,Y,SBrkr,1072,1285,1,TA,6,Min1,0,1,240,Y,127000,60,7
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,1Story,4,Hip,CompShg,HdBoard,HdBoard,TA,TA,1768,TA,N,SBrkr,1768,1768,2,TA,8,Typ,0,0,0,Y,136500,42,42
RM,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,440,Gd,Y,SBrkr,682,1230,1,TA,5,Typ,0,2,440,Y,110000,99,28
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,TA,Gd,896,TA,Y,SBrkr,1182,2142,2,Gd,8,Typ,1,1,509,Y,193500,41,41
RM,Reg,Lvl,AllPub,FR2,Gtl,Norm,Norm,TwnhsE,1Story,6,Hip,CompShg,VinylSd,VinylSd,TA,Gd,1237,Ex,Y,SBrkr,1337,1337,2,TA,5,Typ,0,2,405,Y,153500,8,8
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,TA,TA,1563,Ex,Y,SBrkr,1563,1563,2,Gd,6,Typ,1,3,758,Y,245000,1,1
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,MetalSd,TA,TA,1065,Gd,Y,SBrkr,1065,1065,1,TA,6,Typ,0,2,461,Y,126500,47,47
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,SLvl,7,Gable,CompShg,HdBoard,HdBoard,TA,TA,384,Gd,Y,SBrkr,804,1474,2,TA,7,Typ,1,2,400,Y,168500,14,13
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,8,Hip,CompShg,HdBoard,HdBoard,Gd,TA,1288,Ex,Y,SBrkr,1301,2417,2,Gd,9,Typ,1,2,462,Y,260000,15,14
RL,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,Gd,TA,684,Ex,Y,SBrkr,684,1560,2,Gd,6,Typ,1,2,400,Y,174000,4,4
FV,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,TwnhsE,2Story,6,Gable,CompShg,VinylSd,VinylSd,Gd,TA,612,Ex,Y,SBrkr,612,1224,2,Gd,4,Typ,0,2,528,Y,164500,0,0
C (all),IR1,Lvl,AllPub,Corner,Gtl,Feedr,Feedr,1Fam,1.5Fin,3,Hip,CompShg,Plywood,Plywood,Fa,Fa,1013,TA,N,SBrkr,1013,1526,1,Fa,6,Typ,0,0,0,N,85000,94,27
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,4,Gable,CompShg,VinylSd,VinylSd,TA,TA,990,Ex,Y,SBrkr,990,990,1,TA,5,Typ,0,0,0,Y,123600,13,12
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,4,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,0,TA,Y,FuseA,1040,1040,1,TA,4,Typ,0,2,420,Y,109900,56,56
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Hip,CompShg,HdBoard,HdBoard,TA,TA,1235,TA,Y,SBrkr,1235,1235,1,TA,6,Typ,0,2,480,Y,98600,45,45
RL,IR1,HLS,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,TA,Gd,876,Ex,Y,SBrkr,964,964,1,TA,5,Typ,0,2,432,Y,163500,88,3
C (all),Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,2fmCon,2.5Unf,6,Hip,CompShg,MetalSd,MetalSd,TA,TA,1214,Ex,N,SBrkr,1260,2291,2,TA,9,Typ,1,2,506,Y,133900,97,9
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,TA,Gd,824,Ex,Y,SBrkr,905,1786,2,Gd,7,Typ,0,2,684,Y,204750,10,10
RL,IR2,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,Ex,Gd,680,Gd,Y,SBrkr,680,1470,2,TA,6,Typ,1,2,420,Y,185000,16,16
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1588,Ex,Y,SBrkr,1588,1588,2,Gd,6,Typ,0,2,472,Y,214000,7,7
RL,Reg,HLS,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,4,Hip,CompShg,HdBoard,HdBoard,TA,TA,960,TA,Y,FuseF,960,960,1,TA,6,Typ,0,1,432,P,94750,42,42
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,458,Fa,N,SBrkr,835,835,1,TA,5,Typ,0,1,366,Y,83000,90,60
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,4,Gable,CompShg,Plywood,Plywood,TA,TA,950,Fa,Y,SBrkr,1225,1225,1,TA,6,Typ,0,0,0,Y,128950,51,51
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Plywood,Plywood,TA,TA,1610,Gd,Y,SBrkr,1610,1610,2,Gd,6,Typ,2,2,480,Y,205000,33,9
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,Gable,CompShg,HdBoard,HdBoard,Gd,TA,741,TA,Y,SBrkr,977,1732,2,Gd,7,Typ,1,2,476,Y,178000,25,25
RL,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,Duplex,1Story,5,Gable,CompShg,HdBoard,HdBoard,TA,Fa,0,TA,Y,SBrkr,1535,1535,2,TA,8,Typ,0,2,410,Y,118964,30,30
RL,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,TA,TA,1226,Ex,Y,SBrkr,1226,1226,2,Gd,6,Typ,0,3,740,Y,198900,1,1
RM,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1.5Fin,7,Gable,CompShg,Stucco,Stucco,TA,Fa,1040,Ex,Y,FuseF,1226,1818,1,TA,7,Typ,2,1,240,Y,169500,76,57
FV,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,Hip,CompShg,VinylSd,VinylSd,Gd,TA,1053,Ex,Y,SBrkr,1053,1992,2,Gd,9,Typ,1,2,648,Y,250000,5,4
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,4,Mansard,CompShg,VinylSd,VinylSd,TA,TA,641,Gd,Y,SBrkr,1047,1047,1,TA,6,Typ,0,1,273,N,100000,122,12
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,TA,TA,789,Ex,Y,SBrkr,789,789,1,TA,5,Typ,0,1,250,Y,115000,60,58
RM,Reg,Lvl,AllPub,Corner,Gtl,Artery,Norm,1Fam,1.5Fin,5,Gable,CompShg,CemntBd,CmentBd,TA,TA,793,TA,N,FuseF,997,1517,2,Fa,7,Typ,0,0,0,N,115000,88,2
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,Hip,CompShg,Plywood,Plywood,TA,TA,1844,Ex,Y,SBrkr,1844,1844,2,TA,7,Typ,1,2,546,Y,190000,33,33
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,6,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,994,Gd,Y,SBrkr,1216,1855,2,TA,7,Typ,0,1,325,Y,136900,52,34
