OverallQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SalePrice
6,994,1216,1855,2,7,0,1,325,136900
7,384,774,1430,2,7,1,2,400,180000
7,1264,1282,2696,2,10,1,3,792,383970
6,1809,2259,2259,2,7,2,2,450,217000
6,1028,1436,2320,2,9,1,1,180,259500
6,729,729,1458,2,5,1,2,440,176000
5,1092,1092,1092,1,6,1,1,288,139000
5,1125,1125,1125,1,5,0,2,430,155000
7,1673,1699,3222,3,11,2,3,594,320000
6,728,728,1456,2,8,1,2,390,163990
6,938,988,988,1,4,2,2,540,180000
4,732,772,1123,1,4,0,1,264,100000
6,1080,1080,1080,1,5,0,1,288,136000
6,1199,1199,1199,2,5,0,2,530,153900
6,1362,1586,1586,2,7,1,2,435,181000
6,520,520,754,1,5,0,0,0,84500
6,1078,958,958,2,5,1,2,440,128000
5,672,840,840,1,5,1,0,0,87000
6,660,660,1348,1,6,1,2,453,155000
5,1008,1053,1053,1,6,0,2,750,150000
7,924,1216,2157,2,8,2,2,487,226000
6,992,1022,2054,2,7,1,2,390,244000
5,1063,1327,1327,1,7,0,2,624,150750
8,1267,1296,1296,2,6,0,2,471,220000
5,1461,1721,1721,2,7,1,2,440,180000
7,1304,1682,1682,2,7,1,2,530,174000
5,1214,1214,1214,2,5,1,1,318,143000
7,1907,1959,1959,3,9,0,3,766,171000
8,1004,1004,1852,2,7,2,3,660,230000
6,928,928,1764,2,7,0,2,470,231500
4,864,864,864,1,5,1,0,0,115000
7,1734,1734,1734,2,7,0,2,660,260000
5,910,910,1385,2,6,0,2,720,166000
7,1490,1501,1501,2,6,0,2,577,204000
5,1728,1728,1728,2,10,0,2,504,125000
6,970,970,1709,2,7,0,2,380,130000
5,715,875,875,1,5,0,1,180,105000
7,884,884,2035,2,8,1,2,434,222500
7,1080,1080,1080,1,6,0,0,0,141000
5,896,896,1344,1,7,0,1,240,115000
5,969,969,969,1,5,0,2,440,122000
8,1710,1710,1710,2,6,1,3,866,372402
6,825,1097,1993,2,8,1,2,495,190000
6,1602,1252,1252,1,4,1,2,564,235000
6,1200,1200,1200,1,7,0,1,312,125000
6,572,572,1096,1,5,0,0,0,79000
5,0,1040,1040,1,5,0,2,625,109500
8,774,774,1968,2,8,1,3,680,269500
7,991,991,1947,2,8,1,2,678,254900
7,1392,1392,2462,2,9,1,2,576,320000
6,1232,1232,1232,2,6,0,2,516,162500
9,1572,1572,2668,2,10,2,3,726,412500
7,1541,1541,1541,2,7,1,2,532,220000
4,882,882,882,1,4,0,0,0,103200
6,1149,1149,1616,2,5,0,1,216,152000
5,644,808,1355,2,6,0,0,0,127500
5,1617,1867,1867,1,7,3,1,303,190000
8,1582,1610,2161,1,8,1,3,789,325624
7,840,840,1720,2,7,1,2,440,183500
8,1686,1707,1707,2,6,1,2,511,228000
5,720,854,1382,1,7,0,2,660,128500
6,1080,1656,1656,1,7,2,2,528,215000
7,1064,1064,1767,2,5,1,2,504,239000
6,1362,1362,1362,1,6,1,2,504,163000
6,1606,1651,1651,2,7,1,2,616,184000
6,1202,2158,2158,2,7,1,2,576,243000
6,1151,1164,2060,2,8,1,2,521,211000
5,1052,1252,1920,2,8,1,2,451,172500
9,2216,2234,2234,2,9,1,3,1166,501837
5,968,968,968,1,5,0,2,480,100000
6,756,769,1525,2,5,1,2,440,177000
7,793,901,1802,1,9,1,1,216,200100
5,0,1340,1340,1,7,1,1,252,120000
7,1362,1362,2082,2,6,0,2,484,200000
5,504,936,1252,1,5,0,2,576,127000
10,1107,1518,3608,2,12,2,3,840,475000
7,1188,1217,1217,2,6,0,2,497,173000
5,660,808,1656,2,8,0,1,180,135000
5,1086,1224,1224,0,6,2,2,528,153337
8,1593,1593,1593,1,5,1,2,682,286000
8,853,1549,2727,2,10,2,2,440,315000
7,725,725,1479,1,7,0,2,484,184000
7,1431,1431,1431,2,6,0,2,666,192000
7,970,970,1709,2,7,0,2,380,130000
5,864,864,864,1,5,0,1,352,127000
6,855,855,1456,2,7,1,2,440,148500
7,1726,1726,1726,2,8,1,3,786,311872
8,1360,1360,3112,2,8,1,2,795,235000
6,755,929,2229,1,8,0,0,0,104000
8,1713,1713,1713,2,7,1,3,856,274900
4,1121,1121,1121,2,5,0,2,440,140000
6,1196,1279,1279,2,6,2,2,473,171500
6,617,865,1310,2,6,0,1,398,112000
6,848,848,848,1,3,1,2,420,149000
5,720,720,1284,1,5,0,1,240,110000
7,1424,1442,1442,2,5,0,2,500,180500
5,1140,1696,1696,1,8,1,1,349,143900
4,1100,1100,1100,1,6,1,1,312,141000
7,1157,1180,2062,2,7,1,2,454,277000
6,1092,1092,1092,1,6,0,2,504,145000
5,864,864,864,1,5,0,0,0,98000
6,1212,1212,1212,2,6,0,2,460,186000
7,900,932,1852,2,7,1,2,644,252678
5,990,990,990,1,5,0,2,576,156000
6,689,689,1392,1,6,0,1,299,161750
5,1070,1236,1236,1,6,1,1,447,134450
7,1436,1436,1436,2,8,0,2,484,210000
4,686,810,1328,1,8,0,1,210,107000
7,798,1137,1954,1,8,2,2,431,311500
7,1248,1248,1248,2,5,0,2,438,167240
7,1498,1498,1498,2,5,0,2,675,204900
6,1010,1010,2267,2,8,1,2,390,200000
6,713,811,1552,2,6,1,2,434,179900
4,864,864,864,1,4,0,2,576,97000
10,2392,2392,2392,2,8,1,3,968,386250
5,630,630,1302,2,6,0,1,280,112000
7,1203,1214,2520,2,9,1,3,721,290000
6,483,483,987,1,5,0,1,280,106000
5,912,912,912,1,5,1,1,336,125000
7,1373,1555,1555,2,7,1,2,430,192500
6,1194,1194,1194,1,6,0,1,312,148000
8,1462,1490,2794,2,9,1,3,810,403000
6,483,483,987,1,5,1,1,288,94500
5,894,894,894,1,5,0,1,308,128200
6,860,860,1960,2,8,2,2,440,216500
6,483,483,987,1,5,0,1,264,89500
7,1414,1414,1414,2,6,0,2,494,185500
7,996,1014,1744,2,7,0,2,457,194500
8,1694,1694,1694,2,7,0,3,818,318000
6,735,798,1487,1,7,1,1,220,113000
8,1566,1566,1566,2,7,0,2,750,262500
5,686,866,866,1,4,0,0,0,110500
5,540,889,1440,1,6,0,1,352,79000
6,626,626,1217,1,6,1,1,288,120000
7,948,1222,2110,2,8,2,2,463,205000
7,1845,1872,1872,2,6,1,2,604,241500
6,1020,908,1928,2,9,0,1,440,137000
6,1367,1375,1375,1,5,1,2,451,140000
7,840,840,1668,2,8,0,2,500,180000
6,1444,1444,2144,2,7,2,2,389,277000
3,728,1306,1306,1,6,0,0,0,76500
8,1573,1625,1625,2,5,1,2,538,235000
6,798,798,1640,2,6,0,2,520,173000
6,1302,1302,1302,2,7,0,1,309,158000
5,1314,1314,1314,1,5,0,1,294,145000
7,975,1005,2291,2,8,1,2,429,230000
6,864,864,1728,2,7,0,2,673,207500
7,1604,1604,1604,2,8,1,2,660,220000
7,963,963,1792,2,7,1,2,564,231500
5,0,882,882,1,4,0,1,308,97000
6,1362,1382,1382,1,6,1,2,884,176000
8,1482,1482,2574,2,10,1,3,868,276000
6,506,1212,1212,1,6,1,2,492,151000
5,926,926,1316,1,6,0,2,484,130000
5,680,764,764,1,4,0,2,504,73000
6,1422,1422,1422,2,7,1,2,576,175500
6,802,802,1511,2,8,1,2,413,185000
5,720,1052,2192,2,8,1,1,240,179500
5,740,778,778,1,4,1,1,924,120500
6,1143,1113,1113,1,6,1,1,504,148000
8,1095,1095,1939,2,8,1,3,1053,266000
7,1385,1363,1363,1,5,2,2,439,241500
8,1152,1164,2270,2,9,1,3,671,290000
6,1240,1632,1632,2,6,1,1,338,139000
5,816,816,816,1,5,0,1,264,124500
7,952,952,1548,2,5,0,2,672,205000
7,1560,1560,1560,2,7,0,2,573,201000
4,864,864,864,1,4,0,2,400,141000
9,2121,2121,2121,2,8,1,3,732,415298
7,1160,1156,2022,2,8,1,2,505,192000
7,807,1175,1982,2,7,1,2,575,228500
6,1262,1262,1262,2,5,0,2,572,185000
7,1314,1314,1314,2,6,1,2,626,207500
8,1468,1468,1468,2,6,1,3,898,244600
6,1575,1575,1575,2,5,0,2,529,179200
7,625,625,1250,2,5,0,2,528,164700
6,912,1085,1734,1,7,1,2,440,159000
4,858,858,858,1,5,0,0,0,88000
5,882,900,900,1,5,0,1,280,122000
6,698,698,1396,1,7,0,1,384,153575
8,1079,1079,1919,2,8,1,2,685,233230
5,780,936,1716,2,9,0,0,0,135900
5,768,1148,1716,1,8,1,1,281,131000
7,795,1468,2263,2,9,1,2,539,235000
6,1416,1644,1644,1,7,2,2,418,167000
6,1003,1003,1003,1,6,0,2,588,142500
5,910,910,1558,1,6,0,1,282,152000
7,975,975,1950,2,7,1,2,576,239000
6,702,1041,1743,1,7,1,2,539,175000
6,1092,1152,1152,1,6,1,1,300,158500
5,1165,1336,1336,1,5,2,1,375,157000
8,1028,1210,2452,2,9,1,2,683,267000
7,1541,1541,1541,2,6,1,3,843,205000
5,894,894,894,1,5,0,2,552,149900
7,1470,1675,3493,3,10,1,3,870,295000
8,2000,2000,2000,2,8,0,3,888,305900
7,700,1122,2243,2,8,1,3,746,225000
6,319,1035,1406,1,6,0,0,0,89500
4,861,861,861,1,4,0,2,539,82500
9,1896,1944,1944,2,8,3,3,708,360000
6,697,697,1501,2,6,1,2,420,165600
6,972,972,972,1,5,1,1,240,132000
5,793,793,1118,1,5,1,2,410,119900
7,2136,2036,2036,2,8,2,2,513,375000
7,728,832,1641,1,6,1,2,546,178000
7,716,716,1432,2,6,1,2,432,188500
7,845,1153,2353,2,10,1,2,484,260000
8,1088,1088,1959,2,8,1,3,1025,270000
7,1347,1372,2646,2,9,1,3,656,260000
7,1372,1472,1472,2,6,2,2,588,187500
9,1249,1249,2596,3,9,0,3,840,342643
8,1136,1136,2468,2,10,1,3,872,354000
7,1502,1553,2730,2,8,1,2,576,301000
3,1162,1163,1163,1,6,0,1,220,126175
7,710,1898,2978,2,11,1,2,564,242000
5,720,803,803,1,5,0,2,360,87000
8,1719,1719,1719,1,6,2,2,473,324000
6,1383,1383,1383,1,7,0,1,292,145250
6,844,1445,2134,2,10,0,2,441,214500
5,596,596,1192,1,6,0,1,189,78000
5,1728,1728,1728,2,10,0,1,352,119000
5,1056,1056,1056,1,6,0,1,308,139000
8,3206,1629,1629,2,7,1,3,880,284000
7,1358,1358,1358,2,6,1,2,484,207000
6,943,943,1638,2,7,2,2,472,192000
5,1499,1619,1786,2,7,2,2,529,228950
9,1922,1922,1922,2,8,1,3,676,377426
7,1536,1536,1536,2,7,0,2,532,214000
7,1208,1621,1621,2,8,0,2,440,202500
6,1215,1215,1215,1,6,0,1,297,155000
8,967,993,1908,2,9,0,2,431,202900
4,721,841,841,1,4,0,1,294,82000
3,0,1040,1040,2,6,0,2,400,87500
9,1684,1684,1684,2,6,1,2,564,266000
5,536,536,1112,1,4,0,1,336,85000
6,972,972,1577,1,6,1,1,312,140200
6,958,958,958,1,5,0,1,301,151500
6,1478,1478,1478,2,6,2,2,498,157500
7,764,764,1626,2,6,0,2,474,154000
9,1848,1848,2728,2,10,2,3,706,437154
9,1869,1869,1869,2,6,1,2,617,318061
7,1453,1453,1453,1,6,1,2,445,190000
5,616,616,1111,1,5,0,1,200,95000
6,624,720,720,1,5,0,2,484,105900
6,940,1192,1595,1,6,2,1,240,140000
6,1200,1200,1200,2,6,0,2,521,177500
6,1158,1167,1167,2,6,0,2,400,173000
5,1142,1142,1142,1,6,1,2,528,134000
5,1062,1352,1352,1,6,0,1,288,130000
8,1086,1086,1924,2,7,1,2,592,280000
6,888,912,912,1,5,1,2,470,156000
5,883,988,1505,1,8,0,1,240,145000
7,0,495,1922,3,7,1,2,672,198500
6,483,483,987,1,5,0,1,264,118000
6,796,790,1574,2,6,1,2,566,190000
5,672,672,1344,1,6,0,1,468,147000
6,1394,1394,1394,1,6,2,2,514,159000
6,1099,1431,1431,1,6,1,1,296,165000
5,1268,1268,1268,1,7,1,1,244,132000
5,1063,1287,1287,1,7,1,2,576,162000
6,953,953,1664,2,7,1,2,460,172400
4,0,1120,1588,2,7,1,2,680,134432
6,744,752,752,1,4,0,1,264,125000
5,608,1319,1319,1,5,0,1,270,123000
7,847,847,1928,2,8,1,2,434,219500
1,683,904,904,0,4,0,0,0,61000
5,870,914,914,1,5,0,2,576,148000
8,1580,1580,2466,3,8,1,2,610,340000
9,1856,1856,1856,1,8,1,3,834,394432
6,982,1007,1800,2,7,1,2,463,179000
5,1026,1026,1691,2,6,1,1,308,127000
7,1293,1301,1301,2,5,1,2,572,187750
7,939,939,1797,2,8,0,2,639,213500
6,784,784,784,1,5,0,2,360,76000
6,1580,1079,1953,2,9,2,2,501,240000
8,1256,1269,1269,2,6,1,2,430,192000
5,658,658,1184,1,8,0,0,0,81000
6,1041,1125,1125,1,6,1,1,352,125000
7,1468,1479,1479,2,6,0,2,577,191000
10,1682,1742,2332,2,9,1,3,846,426000
5,861,961,1367,1,7,0,1,384,119000
6,804,804,1961,2,7,1,2,560,215000
5,0,882,882,1,5,0,1,294,106500
4,788,788,788,1,4,2,0,0,100000
5,735,735,1034,1,5,0,1,240,109000
5,1144,1144,1144,1,6,0,1,596,129000
5,894,894,894,1,6,0,2,600,123000
5,864,876,1812,2,8,1,1,264,169500
5,961,1077,1077,1,6,0,1,338,67000
7,1092,1112,1550,2,7,0,2,438,241000
8,1260,1288,1288,1,4,2,2,500,245500
7,1310,1310,1310,2,6,1,2,400,164990
5,672,672,672,1,4,0,1,240,108000
8,1141,1165,2263,2,10,1,2,420,258000
6,806,806,1572,2,7,1,2,373,168000
4,1281,1620,1620,2,8,1,2,490,150000
6,1064,1166,1639,1,6,0,1,240,115000
6,840,840,1680,2,8,0,1,308,177000
7,1063,1071,2172,2,9,1,3,947,280000
8,1034,1050,2078,2,8,1,3,836,339750
5,1276,1276,1276,1,5,0,1,350,60000
5,1056,1056,1056,1,5,0,2,572,145000
7,1470,1478,1478,2,7,1,2,484,222000
5,1008,1028,1028,1,5,1,2,360,115000
7,1080,1080,2097,2,9,1,3,678,228000
7,1340,1340,1340,2,6,0,2,396,181134
6,672,672,1400,1,6,1,2,440,149500
6,1370,1370,2624,2,10,1,3,864,239000
5,756,756,1134,1,7,0,1,240,126000
5,1056,1056,1056,1,6,1,1,304,142000
7,1344,1344,1344,2,8,0,4,784,206300
6,1602,1602,1602,2,8,1,2,529,215000
5,988,988,988,1,4,0,2,520,113000
8,1470,1470,2630,2,8,1,3,696,315000
6,1196,1196,1196,1,6,1,1,297,139000
7,651,707,1389,1,6,2,1,240,135000
7,1518,1644,1644,2,5,1,2,569,275000
4,907,907,907,1,5,0,1,352,109008
7,1208,1208,1208,2,6,0,2,628,195400
6,1392,1412,1412,2,6,1,2,576,175000
6,483,483,987,1,4,0,1,264,85400
6,901,1088,1198,1,7,0,0,0,79900
5,765,765,1365,1,6,0,2,440,122500
6,926,926,1604,2,7,1,2,470,181000
4,630,630,630,1,3,0,0,0,81000
7,799,827,1661,2,6,1,2,550,212000
6,648,734,1118,1,6,0,2,440,116000
6,884,904,904,1,4,0,1,180,119000
5,440,694,694,1,4,1,1,352,90350
6,684,684,1196,1,7,0,2,528,110000
10,3094,2402,2402,2,10,2,3,672,555000
4,1440,1440,1440,2,8,0,0,0,118000
5,1078,1128,1573,2,8,1,2,360,162900
7,1258,1258,1258,2,6,1,3,648,172500
7,915,933,1908,2,8,1,2,493,210000
6,1436,1689,1689,1,7,1,2,480,127500
6,1517,1888,1888,2,6,1,2,578,190000
7,930,956,1886,2,10,1,2,431,199900
6,780,780,1376,2,7,1,1,198,119500
3,649,679,1183,1,6,0,1,308,120000
6,813,813,813,1,5,0,1,270,110000
7,1533,1533,1533,2,5,2,2,576,280000
6,872,888,1756,2,7,0,2,422,204000
8,768,786,1590,2,6,0,2,676,210000
5,1728,1728,1728,2,8,0,2,560,188000
7,1242,1242,1242,1,6,1,2,528,175500
5,624,624,1344,1,7,0,3,513,98000
4,1364,1663,1663,1,6,2,2,529,256000
8,588,833,1666,1,7,1,1,228,161000
5,709,979,1203,1,5,1,1,352,110000
8,832,832,1935,2,8,0,2,552,263435
7,560,575,1135,1,6,0,2,576,155000
5,864,864,864,1,5,1,1,360,62383
6,715,849,1660,1,6,1,1,240,188700
5,1040,1040,1040,2,5,0,0,0,124000
7,1375,1414,1414,2,6,1,2,398,178740
7,1277,1277,1277,1,5,1,2,526,167000
5,728,888,1644,1,7,2,1,312,146500
8,1626,1634,1634,2,7,1,3,866,250000
6,832,832,1710,2,7,0,2,506,187000
8,1488,1502,1502,1,4,0,2,528,212000
7,808,1161,1969,2,8,1,2,534,190000
6,547,1072,1072,1,5,0,2,525,148000
8,1976,1976,1976,2,7,1,3,908,440000
8,1494,1652,1652,2,6,0,2,499,251000
5,970,970,970,1,5,0,2,624,132500
6,1478,1493,1493,2,7,1,2,508,208900
9,2153,2069,2643,2,9,1,3,694,380000
8,1705,1718,1718,2,7,1,3,826,297000
4,907,1131,1131,1,7,0,2,672,89471
9,1833,1850,1850,2,8,1,3,772,326000
9,1792,1792,1792,2,6,1,3,874,374000
7,910,916,1826,1,7,1,1,164,155000
6,1216,1216,1216,2,5,0,2,402,164000
5,999,999,999,1,6,0,1,264,132500
5,1113,1113,1113,1,5,1,1,264,147000
5,1073,1073,1073,1,6,0,2,515,156000
5,1484,1484,1484,2,7,1,2,487,175000
5,954,1766,2414,2,10,1,2,520,160000
4,630,630,630,1,3,0,1,286,86000
5,264,616,1304,1,4,1,1,336,115000
6,806,958,1578,1,5,2,1,240,133000
6,728,728,1456,2,8,0,2,429,172785
5,1269,1269,1269,1,6,1,1,308,155000
5,190,886,886,1,4,0,1,273,91300
4,720,720,720,1,4,0,0,0,34900
8,3200,3228,3228,3,10,1,2,546,430000
7,1026,1133,1820,2,8,0,1,240,184000
5,864,899,899,1,5,0,1,288,130000
5,912,912,912,1,5,0,1,297,120000
6,672,672,1218,1,7,0,1,264,113000
7,866,866,1768,2,7,0,2,603,226700
5,1214,1214,1214,1,6,0,2,461,140000
7,1501,1801,1801,2,6,2,2,484,289000
6,855,855,1322,2,6,1,2,440,147000
5,960,960,1960,2,10,0,2,400,124500
8,777,1065,1911,2,8,1,2,471,215000
6,1218,1218,1218,2,4,0,2,676,208300
7,689,689,1378,2,7,1,2,360,161000
5,1041,1041,1041,1,6,0,1,270,124500
5,1008,1363,1363,1,6,2,1,288,164900
7,1368,1368,1368,2,6,1,2,474,202665
5,864,864,864,1,5,0,2,624,129900
6,1084,1080,1080,1,5,0,2,484,134000
5,768,789,789,1,5,0,1,200,96500
10,2006,2020,2020,2,9,1,3,900,402861
6,689,1378,2119,2,7,1,2,583,158000
7,1264,1277,2344,2,7,1,3,889,265000
6,794,882,1796,2,7,0,2,546,211000
7,1276,1276,2080,1,9,2,1,282,234000
4,0,694,1294,2,7,0,0,0,106250
6,1244,1244,1244,1,6,2,1,336,150000
6,1004,1004,1664,2,7,2,2,420,159000
10,3138,3138,4676,3,11,1,3,884,184750
7,1379,1383,2398,2,8,1,3,834,315750
7,1257,1266,1266,2,6,1,2,453,176000
5,928,928,928,1,4,0,1,252,132000
9,1452,1476,2713,2,11,1,3,858,446261
4,528,605,605,1,5,0,0,0,86000
6,2035,2515,2515,3,9,2,2,484,200624
6,1461,1509,1509,2,5,1,2,600,175000
6,611,751,1362,2,6,0,2,502,128000
5,0,827,827,1,5,1,1,392,107500
1,0,334,334,1,2,0,0,0,39300
8,707,707,1414,2,6,1,2,403,178000
5,1117,820,1347,1,5,0,0,0,107500
7,880,880,1724,2,8,0,2,527,188000
4,864,864,864,1,5,0,2,576,111250
5,1051,1159,1159,1,7,1,1,336,158000
8,1581,1601,1601,2,6,1,2,670,272000
9,1838,1838,1838,2,8,1,3,765,315000
8,969,997,2285,2,8,1,3,648,248000
7,1650,1680,1680,2,7,1,2,583,213250
7,723,767,767,1,4,0,1,367,133000
7,654,664,1496,2,7,1,2,426,179665
7,1204,1377,2183,2,9,0,3,786,229000
6,1065,915,1635,1,6,1,2,440,210000
5,768,768,768,1,5,0,2,624,129500
5,825,825,825,1,4,0,2,720,125000
7,912,912,2094,2,8,1,2,615,263000
6,1069,1069,1069,2,4,0,2,440,140000
5,928,928,928,1,5,0,1,288,112500
8,1709,1717,1717,2,7,1,3,908,255500
4,0,1126,1126,2,5,0,2,520,108000
7,998,1006,2046,2,8,1,3,871,284000
5,993,1048,1048,1,5,1,1,280,113000
5,1092,1092,1092,1,6,1,1,299,141000
4,637,897,1336,1,7,0,1,570,108000
7,729,729,1446,2,6,1,2,406,175000
7,1374,1557,1557,2,7,1,2,420,234000
5,1392,1392,1392,1,5,1,2,528,121500
5,1389,1389,1389,1,6,1,2,418,170000
5,996,996,996,1,6,1,0,0,108000
6,1163,1163,1674,2,8,1,2,396,185000
7,1095,1166,2295,2,9,1,2,590,268000
6,806,841,1647,1,6,0,1,216,128000
9,1122,1134,2504,2,11,1,3,656,325000
7,1517,1535,1535,2,7,0,2,532,214000
8,1496,1496,2132,1,5,1,2,612,316600
5,943,943,943,1,4,2,2,600,135960
5,1728,1728,1728,2,10,0,2,576,142600
6,864,864,864,1,4,0,1,288,120000
7,846,846,1692,2,6,0,2,650,224500
7,384,774,1430,2,8,1,2,400,170000
5,372,576,1109,1,5,0,1,288,139000
5,832,832,1216,1,6,0,1,336,118500
7,861,877,1477,2,6,1,1,216,145000
5,1164,1320,1320,1,6,2,2,564,164500
7,689,703,1392,2,5,0,2,540,146000
5,1050,1050,1795,2,7,0,1,352,131500
6,1144,1429,1429,1,7,2,2,572,181900
8,2042,2042,2042,2,8,1,3,1390,253293
6,816,816,816,1,5,0,0,0,118500
10,1237,1521,2775,3,9,1,2,880,325000
4,884,989,1573,1,6,0,1,240,133000
8,1868,2028,2028,2,7,2,3,880,369900
6,816,838,838,1,5,0,1,275,130000
5,840,860,860,1,4,0,2,528,137000
5,1437,1473,1473,1,5,2,1,452,143000
5,742,779,935,1,4,0,1,308,79500
7,770,770,1582,2,6,0,2,520,185900
10,1722,1728,2296,2,10,1,3,842,451950
5,816,816,816,1,4,0,2,816,138000
6,848,848,848,1,4,0,2,420,140000
5,924,924,924,1,5,0,1,280,110000
8,1814,1826,1826,2,7,1,3,758,319000
6,684,684,1368,1,7,0,1,216,114504
7,1258,1402,1402,0,7,1,3,648,194201
5,1430,1647,1647,2,7,1,2,621,208500
6,716,716,1556,2,6,1,2,452,208501
8,1058,1058,1904,2,8,1,2,736,208502
6,780,780,1375,1,6,1,1,544,208503
8,908,927,1915,2,8,1,2,506,208504
7,600,600,1200,2,4,0,2,480,208505
